개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3010000,3010000-103-1993-02342,19931220,,03,폐업,02,폐업,19940926,,,,0202358239,64.73,100819,서울특별시 중구 신당동 141-2번지 ,,,송림,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201706.189222542    ,451418.136329645    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,64.73,,,
3010000,3010000-103-1993-02343,19931221,,03,폐업,02,폐업,20010714,,,,02,86.30,100846,서울특별시 중구 을지로3가 296-11번지 ,,,크로바,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199247.520837134    ,451490.684686307    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,86.3,,,
3010000,3010000-103-1993-02344,19931223,,03,폐업,02,폐업,20020426,,,,0200000000,62.64,100330,서울특별시 중구 주교동 176-2번지 ,,,파레스,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199784.737069692    ,451743.173114426    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,62.64,,,
3010000,3010000-103-1993-02345,19931224,,03,폐업,02,폐업,20110502,,,,02 7774900,53.20,100031,서울특별시 중구 저동1가 48-0번지 ,,,모정,2010-11-12 15:19:56,I,2018-08-31 23:59:59.0,단란주점,198786.599773       ,451426.811563       ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,53.2,,,
3010000,3010000-103-1993-02346,19931228,,03,폐업,02,폐업,20010816,,,,02 7778559,62.94,100864,서울특별시 중구 태평로2가 68-8번지 ,,,홍콩,2001-08-16 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197905.659155249    ,451216.395030151    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,62.94,,,
3010000,3010000-103-1993-02347,19931228,,03,폐업,02,폐업,20020116,,,,02 7711400,67.52,100800,서울특별시 중구 남대문로5가 17-11번지 ,,,로즈,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197670.305291745    ,450685.651789924    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,67.52,,,
3010000,3010000-103-1993-02348,19931229,,03,폐업,02,폐업,20011222,,,,0222539821,75.39,100870,서울특별시 중구 황학동 1433-0번지 ,,,벌떼,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201890.189383292    ,451796.095611384    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,75.39,,,
3010000,3010000-103-1993-02349,19931230,,03,폐업,02,폐업,20000125,,,,0222797860,58.84,100847,서울특별시 중구 을지로3가 280-1번지 ,,,홍콩단란주점,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199366.777586676    ,451545.494403825    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,58.84,,,
3010000,3010000-103-1993-02352,19931115,,03,폐업,02,폐업,20220421,,,,0222527960,149.78,100420,서울특별시 중구 무학동 54 지하1층,서울특별시 중구 퇴계로74길 21-5 (무학동,지하1층),04611,황제,2022-04-21 10:06:15,U,2021-12-03 22:03:00.0,단란주점,201251.027024665,451327.783556209,,,,,,,,,,,,,,,,,,,
3010000,3010000-103-1993-02353,19931115,,03,폐업,02,폐업,19990408,,,,02,57.15,100230,서울특별시 중구 수표동 11-3번지 ,,,한마당,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199111.274344793    ,451713.70616392     ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,57.15,,,
3010000,3010000-103-1993-02354,19931115,,01,영업/정상,01,영업,,,,,0222331700,109.28,100819,서울특별시 중구 신당동 131-11 ,서울특별시 중구 다산로44길 48 (신당동),04577,55번지,2022-01-27 17:53:46,U,2022-01-29 02:40:00.0,단란주점,201659.353982245    ,451410.993778656    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,109.28,,,
3010000,3010000-103-1993-02355,19931116,,03,폐업,02,폐업,20101222,,,,0222345490,90.20,100894,서울특별시 중구 신당동 430-6번지 ,,,은좌,2005-02-23 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200728.901937116    ,450458.827645493    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,90.2,,,
3010000,3010000-103-1993-02357,19931119,,01,영업/정상,01,영업,,,,,0203191142,107.52,100861,서울특별시 중구 충무로2가 65-13번지 ,서울특별시 중구 퇴계로 123 (충무로2가),04536,뮤직인터뷰,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198650.961333436    ,450980.863895268    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,107.52,,,
3010000,3010000-103-1993-02359,19931124,,03,폐업,02,폐업,20000406,,,,02   0,90.35,100860,서울특별시 중구 충무로2가 12-5번지 ,,,명동타운,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198898.282009528    ,451082.839302118    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,90.35,,,
3010000,3010000-103-1993-02360,19931124,,03,폐업,02,폐업,19980508,,,,02 2531883,65.90,100834,서울특별시 중구 신당동 381-6번지 ,,,길손,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200877.470341448    ,450410.029253033    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,65.9,,,
3010000,3010000-103-1993-02361,19931126,,03,폐업,02,폐업,20110330,,,,02 2369777,70.99,100450,서울특별시 중구 신당동 38-0번지 ,,,동화,2011-04-05 14:24:26,I,2018-08-31 23:59:59.0,단란주점,201680.657468681    ,450847.416467817    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,70.99,,,
3010000,3010000-103-1993-02362,19931130,,03,폐업,02,폐업,19961002,,,,0202686007,85.11,100013,서울특별시 중구 충무로3가 57-8번지 ,,,황궁,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199189.786245108    ,451121.34232144     ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,85.11,,,
3010000,3010000-103-1993-02363,1993-12-01,,01,영업/정상,01,영업,,,,,0222432426,122.05,100-819,서울특별시 중구 신당동 120-16,서울특별시 중구 다산로44길 19 (신당동),04577,또또클럽,2023-04-06 10:41:39,U,2022-12-04 00:08:00.0,단란주점,201523.098007991,451422.935453518,,,,,,,,,,,,,,,,,,,
3010000,3010000-103-1993-02364,19931109,,03,폐업,02,폐업,20081230,,,,0202364010,107.98,100841,서울특별시 중구 신당동 369-9번지 ,,,노래나라,2003-04-01 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200835.476166936    ,450258.139221473    ,단란주점,0,0,기타,을,상수도전용,,,,,,,,,N,107.98,,,
3010000,3010000-103-1993-02365,19931109,,03,폐업,02,폐업,20010906,,,,0222323707,54.00,100819,서울특별시 중구 신당동 120-26번지 ,,,나이트,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201586.281698407    ,451430.970587358    ,단란주점,0,0,기타,을,상수도전용,,,,,,,,,N,54,,,
3010000,3010000-103-1993-02366,19931112,,03,폐업,02,폐업,20110330,,,,0200000000,143.75,100042,서울특별시 중구 남산동2가 1-2번지 ,,,킹명동,2011-04-05 14:20:49,I,2018-08-31 23:59:59.0,단란주점,198696.041006885    ,450925.001401303    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,143.75,,,
3010000,3010000-103-1993-02367,19931113,,03,폐업,02,폐업,19990210,,,,0202730526,25.79,100848,서울특별시 중구 을지로4가 108번지 ,,,석하,2002-03-18 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199814.035932199    ,451665.40875361     ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,25.79,,,
3010000,3010000-103-1993-02368,19931115,,03,폐업,02,폐업,19940926,,,,0202335857,91.62,100819,서울특별시 중구 신당동 130-18번지 ,,,유달산,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201610.555371557    ,451431.468671122    ,단란주점,0,0,기타,을,상수도전용,,,,,,,,,N,91.62,,,
3010000,3010000-103-1993-02369,19931102,,03,폐업,02,폐업,20210729,,,,02 2666226,81.38,100300,서울특별시 중구 초동 41-1 지하1층 ,서울특별시 중구 마른내로2길 3 (초동, 지하1층),04555,골드노래주점,2021-07-29 10:38:48,U,2021-07-31 02:40:00.0,단란주점,199275.341322361    ,451312.790409024    ,단란주점,0,0,기타,기타,상수도전용,0,0,0,0,0,,0,0,N,81.38,,,
3010000,3010000-103-1993-02370,19931101,,03,폐업,02,폐업,20020129,,,,0222699193,57.06,100863,서울특별시 중구 충무로4가 24-3번지 ,,,축제,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199481.37606031     ,451138.52870995     ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,57.06,,,
3010000,3010000-103-1993-02371,19931101,,03,폐업,02,폐업,20020703,,,,0222687989,45.46,100310,서울특별시 중구 오장동 69-29번지 ,,,쿵다리단란주점,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199942.447719835    ,451369.885191892    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,45.46,,,
3010000,3010000-103-1993-02372,19931102,,03,폐업,02,폐업,19940420,,,,0202669939,52.90,100013,서울특별시 중구 충무로3가 30-19번지 ,,,환희,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199301.799466956    ,451171.468886477    ,단란주점,0,0,유흥업소밀집지역,을,상수도전용,,,,,,,,,N,52.9,,,
3010000,3010000-103-1993-02373,19931104,,03,폐업,02,폐업,20000202,,,,02,48.85,100080,서울특별시 중구 북창동 134-3번지 ,,,뉴월드,2000-02-02 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,0,0,기타,자율,상수도전용,,,,,,,,,N,48.85,,,
3010000,3010000-103-1993-02374,19931104,,03,폐업,02,폐업,19981014,,,,0202630886,37.21,100013,서울특별시 중구 충무로3가 25-3번지 ,,,진원,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199196.688780377    ,451192.898035114    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,37.21,,,
3010000,3010000-103-1993-02375,19931104,,03,폐업,02,폐업,19971209,,,,02 2794838,26.32,100015,서울특별시 중구 충무로5가 20-33번지 ,,,심청,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199984.691918872    ,451182.950376852    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,26.32,,,
3010000,3010000-103-1993-02376,19931105,,01,영업/정상,01,영업,,,,,0202795588,114.06,100855,서울특별시 중구 장충동2가 186-38번지 ,서울특별시 중구 동호로 288 (장충동2가),04617,일년후(1년후),2011-03-11 09:30:33,I,2018-08-31 23:59:59.0,단란주점,200206.175660391    ,450882.186668327    ,단란주점,1,1,기타,기타,상수도전용,,,,,,,,,N,114.06,,,
3010000,3010000-103-1993-02377,19931106,,03,폐업,02,폐업,19990910,,,,0222689519,64.61,100032,서울특별시 중구 저동2가 80-5번지 ,,,미녀와야수,1999-09-14 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199017.654687367    ,451486.958861241    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,64.61,,,
3010000,3010000-103-1993-02378,19931106,,03,폐업,02,폐업,19990706,,,,02 7515479,38.89,100340,서울특별시 중구 산림동 207-1번지 ,,,정단란주점,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199521.200809167    ,451751.424132583    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,38.89,,,
3010000,3010000-103-1993-02379,1993-11-13,,01,영업/정상,01,영업,,,,,0222377654,86.24,100-819,서울특별시 중구 신당동 142-1 지하1층,서울특별시 중구 다산로44길 66, 지하1층 (신당동),04578,친구야,2023-08-01 16:02:14,U,2022-12-08 00:03:00.0,단란주점,201753.84135564,451415.4453653,,,,,,,,,,,,,,,,,,,
3010000,3010000-103-1993-02380,19931109,,03,폐업,02,폐업,19990203,,,,0202860447,76.44,100845,서울특별시 중구 을지로2가 148-4번지 ,,,스위티,2002-03-18 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,0,0,유흥업소밀집지역,갑,상수도전용,,,,,,,,,N,76.44,,,
3010000,3010000-103-1993-02381,19931108,,03,폐업,02,폐업,19950614,,,,02 2657888,136.64,100855,서울특별시 중구 장충동2가 188-8번지 ,,,란,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200360.08991283     ,450863.333926625    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,136.64,,,
3010000,3010000-103-1993-02382,19931108,,03,폐업,02,폐업,19940727,,,,0207745081,60.25,100011,서울특별시 중구 충무로1가 22-1번지 ,,,가시버시,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198508.094450853    ,451068.298405587    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,60.25,,,
3010000,3010000-103-1993-02383,19931108,,03,폐업,02,폐업,19950422,,,,0202636311,108.89,100195,서울특별시 중구 을지로5가 270-8번지 ,,,사계절,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199968.482929164    ,451565.63439898     ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,108.89,,,
3010000,3010000-103-1993-02384,19931109,,03,폐업,02,폐업,20021012,,,,0222748791,41.32,100013,서울특별시 중구 충무로3가 59-10번지 ,,,쥬리아나,2002-03-23 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199127.53452918     ,451102.686191354    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,41.32,,,
3010000,3010000-103-1993-02385,19931108,,03,폐업,02,폐업,19950828,,,,02 2721246,113.63,100862,서울특별시 중구 충무로4가 132-5번지 ,,,나이스호프,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199471.269284407    ,451041.0342788      ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,113.63,,,
3010000,3010000-103-1993-02386,19931015,,03,폐업,02,폐업,19940425,,,,0202373023,94.64,100819,서울특별시 중구 신당동 140-4번지 ,,,블랙로즈,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201691.903143786    ,451465.657346612    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,94.64,,,
3010000,3010000-103-1993-02387,19931015,,03,폐업,02,폐업,19940811,,,,0207770424,90.88,100809,서울특별시 중구 명동2가 33-6번지 ,,,둘이네,2002-06-07 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198592.827506151    ,451223.682868643    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,90.88,,,
3010000,3010000-103-1993-02388,19931015,,03,폐업,02,폐업,19980714,,,,0202761397,78.85,100862,서울특별시 중구 충무로4가 133-2번지 ,,,가시버시,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199462.05970946     ,451080.135015109    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,78.85,,,
3010000,3010000-103-1993-02389,19931015,,01,영업/정상,01,영업,,,,,0222536864,142.66,100893,서울특별시 중구 신당동 370-29 ,서울특별시 중구 다산로 146 (신당동),04590,보이스노래짱,2021-11-02 16:29:02,U,2021-11-04 02:40:00.0,단란주점,200983.446989151    ,450479.298866634    ,단란주점,,,,,,,,,,,,,,N,142.66,,,
3010000,3010000-103-1993-02390,19931016,,03,폐업,02,폐업,19970718,,,,02 2790350,24.90,100300,서울특별시 중구 초동 19-25번지 ,,,보헤미안,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199278.042439764    ,451390.723993013    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,24.9,,,
3010000,3010000-103-1993-02391,19931016,,01,영업/정상,01,영업,,,,,0222373830,116.75,100819,서울특별시 중구 신당동 110-10 ,서울특별시 중구 다산로44길 15 (신당동),04577,나그네,2021-12-20 15:36:44,U,2021-12-22 02:40:00.0,단란주점,201501.488617913    ,451419.199682443    ,단란주점,0,0,,,,,,,,,,,,N,116.75,,,
3010000,3010000-103-1993-02392,19931018,,03,폐업,02,폐업,20010220,,,,02 4432344,41.98,100340,서울특별시 중구 산림동 192-3번지 ,,,늘벗,2001-03-05 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199585.101023928    ,451787.881834934    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,41.98,,,
3010000,3010000-103-1993-02393,19931018,,03,폐업,02,폐업,19940930,,,,0202794236,51.43,100013,서울특별시 중구 충무로3가 57-5번지 ,,,롯데,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199235.338949436    ,451113.148084908    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,51.43,,,
3010000,3010000-103-1993-02394,19931018,,03,폐업,02,폐업,20000826,,,,02 3197666,141.27,100861,서울특별시 중구 충무로2가 62-9번지 ,,,서울멜로리,2000-08-26 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198814.884440598    ,451003.686958642    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,141.27,,,
3010000,3010000-103-1993-02395,19931019,,03,폐업,02,폐업,20020704,,,,0207790003,81.71,100080,서울특별시 중구 북창동 103-1번지 ,,,가로수,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,81.71,,,
3010000,3010000-103-1993-02396,19931022,,03,폐업,02,폐업,20010329,,,,02,88.00,100080,서울특별시 중구 북창동 20-2번지 ,,,클레오파트라,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197922.915700535    ,451101.900532293    ,단란주점,0,0,유흥업소밀집지역,자율,상수도전용,,,,,,,,,N,88,,,
3010000,3010000-103-1993-02397,19931025,,03,폐업,02,폐업,19950207,,,,0202327790,101.72,100420,서울특별시 중구 무학동 32-1번지 ,,,탈렌트,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201283.356516012    ,451322.291203832    ,단란주점,0,0,기타,을,상수도전용,,,,,,,,,N,101.72,,,
3010000,3010000-103-1993-02398,19931025,,03,폐업,02,폐업,19991217,,,,0202633191,66.79,100300,서울특별시 중구 초동 55-0번지 ,,,카네기,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199236.802725803    ,451256.554154233    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,66.79,,,
3010000,3010000-103-1993-02399,19931026,,03,폐업,02,폐업,20000322,,,,02 7534015,84.66,100814,서울특별시 중구 서소문동 89-0번지 ,,,섹스폰,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,197770.920321632    ,451225.883230242    ,단란주점,0,0,기타,자율,상수도전용,,,,,,,,,N,84.66,,,
3010000,3010000-103-1993-02400,19931027,,03,폐업,02,폐업,20070208,,,,0222339194,92.25,100869,서울특별시 중구 황학동 685-0번지 ,,,팡팡가요주점,2005-08-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,0,0,유흥업소밀집지역,자율,상수도전용,,,,,,,,,N,92.25,,,
3010000,3010000-103-1993-02401,19931027,,03,폐업,02,폐업,20051031,,,,0222384406,36.38,100869,서울특별시 중구 황학동 677-0번지 ,,,사랑방,2002-05-21 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,0,0,유흥업소밀집지역,자율,상수도전용,,,,,,,,,N,36.38,,,
3010000,3010000-103-1993-02402,19931030,,03,폐업,02,폐업,19981113,,,,02 7760667,78.14,100861,서울특별시 중구 충무로2가 61-2번지 ,,,준,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198866.588121535    ,451052.316267375    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,78.14,,,
3010000,3010000-103-1993-02403,19931014,,03,폐업,02,폐업,20020806,,,,02 7374110,67.67,100200,서울특별시 중구 삼각동 110-0번지 ,,,어우동,2002-08-12 00:00:00,I,2018-08-31 23:59:59.0,단란주점,198486.076972128    ,451674.975511821    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,67.67,,,
3010000,3010000-103-1993-02404,19931014,,03,폐업,02,폐업,20190114,,,,0222348166,58.32,100420,서울특별시 중구 무학동 12-1번지 ,서울특별시 중구 다산로39길 1 (무학동),04611,골드노래주점,2019-01-14 16:50:42,U,2019-01-16 02:40:00.0,단란주점,201309.072279868    ,451306.19538758     ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,58.32,,,
3010000,3010000-103-1993-02405,19931014,,03,폐업,02,폐업,19950210,,,,0202387137,97.83,100420,서울특별시 중구 무학동 33-0번지 ,,,마인주점,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201273.583841574    ,451300.026148291    ,단란주점,2,0,주택가주변,기타,상수도전용,,,,,,,,,N,97.83,,,
3010000,3010000-103-1993-02406,19931015,,03,폐업,02,폐업,19941015,,,,0202330332,111.40,100420,서울특별시 중구 무학동 22-0번지 ,,,이반,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,201287.090009249    ,451234.946234972    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,111.4,,,
3010000,3010000-103-1993-02407,19930923,,03,폐업,02,폐업,19971013,,,,0202796969,146.50,100411,서울특별시 중구 광희동1가 187-5번지 ,,,일번지,2001-10-08 00:00:00,I,2018-08-31 23:59:59.0,단란주점,200510.28666759     ,451400.561935357    ,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,146.5,,,
3010000,3010000-103-1993-02408,19930924,,01,영업/정상,01,영업,,,,,0202650791,78.97,100300,서울특별시 중구 초동 19-4번지 ,서울특별시 중구 마른내로 41 (초동),04550,일번지,2002-04-12 00:00:00,I,2018-08-31 23:59:59.0,단란주점,199267.107878626    ,451366.77906293     ,단란주점,0,0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,78.97,,,
3010000,3010000-103-1993-02409,19930928,,03,폐업,02,폐업,20000921,,,,02 7574856,80.57,100080,서울특별시 중구 북창동 103-1번지 ,,,코리아나,2000-09-21 00:00:00,I,2018-08-31 23:59:59.0,단란주점,,,단란주점,0,0,기타,기타,상수도전용,,,,,,,,,N,80.57,,,
